Category,Twitter Account,Full Name,Description
🎮 Gaming & Esports,@Ninja,Ninja,Streamer
🎮 Gaming & Esports,@PewDiePie,PewDiePie,Content Creator
🎮 Gaming & Esports,@Valkyrae,Valkyrae,Streamer
🎮 Gaming & Esports,@timthetatman,TimTheTatman,Streamer
🎮 Gaming & Esports,@shroud,Shroud,Ex-Pro Player & Streamer
🎮 Gaming & Esports,@IGN,IGN,Gaming News
🎮 Gaming & Esports,@GameSpot,GameSpot,Gaming News
🎮 Gaming & Esports,@PlayStation,PlayStation,Console Brand
🎮 Gaming & Esports,@Xbox,Xbox,Console Brand
🎮 Gaming & Esports,@NintendoAmerica,Nintendo,Console Brand
🎮 Gaming & Esports,@Faker,T1 Faker,Pro Esports Player
🎮 Gaming & Esports,@DrDisrespect,Dr Disrespect,Streamer
🎮 Gaming & Esports,@markiplier,Markiplier,Content Creator
🎮 Gaming & Esports,@tommyinnit,TommyInnit,Content Creator
🎮 Gaming & Esports,@Twitch,Twitch,Streaming Platform
🎮 Gaming & Esports,@RockstarGames,Rockstar Games,Game Developer
🎮 Gaming & Esports,@Nadeshot,Nadeshot,Esports CEO
🎮 Gaming & Esports,@SypherPK,SypherPK,Streamer
🔬 Science & Technology,@neiltyson,Neil deGrasse Tyson,Astrophysicist
🔬 Science & Technology,@BillNye,Bill Nye,Science Educator
🔬 Science & Technology,@NASA,NASA,Space Agency
🔬 Science & Technology,@SpaceX,SpaceX,Aerospace Company
🔬 Science & Technology,@NatGeo,National Geographic,Science & Nature
🔬 Science & Technology,@mkbhd,Marques Brownlee,Tech Reviewer
🔬 Science & Technology,@ijustine,iJustine,Tech Influencer
🔬 Science & Technology,@LinusTech,Linus Tech Tips,PC & Tech Hardware
🔬 Science & Technology,@lexfridman,Lex Fridman,AI Researcher & Podcaster
🔬 Science & Technology,@WIRED,WIRED,Tech & Culture Magazine
🔬 Science & Technology,@verge,The Verge,Tech News
🔬 Science & Technology,@Cmdr_Hadfield,Chris Hadfield,Astronaut
🔬 Science & Technology,@PopSci,Popular Science,Magazine
🔬 Science & Technology,@Nature,Nature,Scientific Journal
🔬 Science & Technology,@TEDTalks,TED Talks,Educational Conferences
🔬 Science & Technology,@JaneGoodallInst,Jane Goodall Institute,Primatology/Conservation
🔬 Science & Technology,@TechCrunch,TechCrunch,Startups & Tech News
🍳 Food & Cooking,@GordonRamsay,Gordon Ramsay,Chef & TV Personality
🍳 Food & Cooking,@jamieoliver,Jamie Oliver,Chef & Author
🍳 Food & Cooking,@GuyFieri,Guy Fieri,Chef & TV Personality
🍳 Food & Cooking,@marthastewart,Martha Stewart,Lifestyle & Food
🍳 Food & Cooking,@FoodNetwork,Food Network,TV Channel
🍳 Food & Cooking,@Tasty,Tasty,Recipe Videos
🍳 Food & Cooking,@seriouseats,Serious Eats,Culinary Techniques
🍳 Food & Cooking,@bonappetit,Bon Appétit,Food Magazine
🍳 Food & Cooking,@altonbrown,Alton Brown,Food Scientist/Chef
🍳 Food & Cooking,@InaGarten,Ina Garten,Chef & Author
🍳 Food & Cooking,@chrissyteigen,Chrissy Teigen,Cookbook Author
🍳 Food & Cooking,@andrewzimmern,Andrew Zimmern,Culinary Explorer
🍳 Food & Cooking,@davidchang,David Chang,Chef & Restaurateur
🍳 Food & Cooking,@PadmaLakshmi,Padma Lakshmi,TV Host & Author
🍳 Food & Cooking,@Munchies,MUNCHIES,Food by VICE
🍳 Food & Cooking,@epicurious,Epicurious,Digital Food Brand
🍳 Food & Cooking,@Eater,Eater,Dining & Restaurant News
📚 Literature & Writing,@StephenKing,Stephen King,Author
📚 Literature & Writing,@jk_rowling,J.K. Rowling,Author
📚 Literature & Writing,@neilhimself,Neil Gaiman,Author
📚 Literature & Writing,@MargaretAtwood,Margaret Atwood,Author
📚 Literature & Writing,@rickriordan,Rick Riordan,Author
📚 Literature & Writing,@JohnGreen,John Green,Author & Vlogger
📚 Literature & Writing,@PauloCoelho,Paulo Coelho,Author
📚 Literature & Writing,@glennondoyle,Glennon Doyle,Author & Activist
📚 Literature & Writing,@JoyceCarolOates,Joyce Carol Oates,Author
📚 Literature & Writing,@angiecthomas,Angie Thomas,Author
📚 Literature & Writing,@Goodreads,Goodreads,Book Community
📚 Literature & Writing,@penguinrandom,Penguin Random House,Publisher
📚 Literature & Writing,@ReesesBookClub,Reese's Book Club,Book Club
📚 Literature & Writing,@ColsonWhitehead,Colson Whitehead,Author
📚 Literature & Writing,@BreneBrown,Brené Brown,Researcher & Author
📚 Literature & Writing,@GeorgeRRMartin_,George R.R. Martin,Author
📚 Literature & Writing,@pronounced_ing,Celeste Ng,Author
"💼 Business, Finance & Entrepreneurship",@elonmusk,Elon Musk,Entrepreneur
"💼 Business, Finance & Entrepreneurship",@BillGates,Bill Gates,Philanthropist & Founder
"💼 Business, Finance & Entrepreneurship",@richardbranson,Richard Branson,Entrepreneur
"💼 Business, Finance & Entrepreneurship",@tim_cook,Tim Cook,Apple CEO
"💼 Business, Finance & Entrepreneurship",@mcuban,Mark Cuban,Entrepreneur & Investor
"💼 Business, Finance & Entrepreneurship",@satyanadella,Satya Nadella,Microsoft CEO
"💼 Business, Finance & Entrepreneurship",@JeffBezos,Jeff Bezos,Amazon Founder
"💼 Business, Finance & Entrepreneurship",@BarbaraCorcoran,Barbara Corcoran,Real Estate & Investor
"💼 Business, Finance & Entrepreneurship",@garyvee,Gary Vaynerchuk,Entrepreneur & Marketer
"💼 Business, Finance & Entrepreneurship",@Forbes,Forbes,Business Magazine
